statenum,casenum,acchr,latitude,longitude,numfatal,age
25,129,17,41.69706111,-71.16070833,1,34
25,129,17,41.69706111,-71.16070833,1,42
25,130,16,42.49154167,-71.19303333,1,71
25,130,16,42.49154167,-71.19303333,1,75
25,131,21,42.31228889,-71.416775,1,18
25,132,7,41.65260278,-70.37937778,1,24
25,133,0,42.35820556,-71.05141944,1,23
25,134,18,41.65657778,-70.93645833,1,35
25,135,6,42.26118611,-71.56226111,1,53
25,135,6,42.26118611,-71.56226111,1,56
25,136,5,42.49343333,-71.11807222,1,26
25,136,5,42.49343333,-71.11807222,1,40
25,137,17,42.60798889,-71.32051667,1,46
25,137,17,42.60798889,-71.32051667,1,51
25,138,13,42.38823056,-71.57829444,1,27
25,138,13,42.38823056,-71.57829444,1,34
25,138,13,42.38823056,-71.57829444,1,56
25,138,13,42.38823056,-71.57829444,1,82
25,139,0,42.19421944,-71.84821389,1,31
25,140,3,42.12593889,-71.06250833,1,37
25,140,3,42.12593889,-71.06250833,1,38
25,141,20,42.80139444,-71.08285,1,30
25,142,20,41.90343333,-71.23391111,1,37
25,143,10,42.07393333,-71.04174444,1,28
25,143,10,42.07393333,-71.04174444,1,62
25,143,10,42.07393333,-71.04174444,1,68
25,143,10,42.07393333,-71.04174444,1,69
25,144,19,42.20051111,-73.35873333,1,53
25,145,20,41.97318889,-70.80478056,1,31
25,146,20,41.64728611,-70.42727778,1,45
25,146,20,41.64728611,-70.42727778,1,56
25,146,20,41.64728611,-70.42727778,1,64
25,147,7,41.94670556,-71.02060556,1,22
25,147,7,41.94670556,-71.02060556,1,27
25,148,15,42.61595556,-72.74245833,1,20
25,148,15,42.61595556,-72.74245833,1,51
25,148,15,42.61595556,-72.74245833,1,64
25,149,15,42.62153333,-71.36739722,1,45
25,150,19,42.22969167,-70.97156944,1,36
25,150,19,42.22969167,-70.97156944,1,49
25,150,19,42.22969167,-70.97156944,1,53
25,150,19,42.22969167,-70.97156944,1,60
25,152,20,42.47571667,-71.08875,1,24
25,153,99,42.61769444,-72.62468056,1,33
25,154,23,42.14802222,-71.16064444,1,27
25,155,11,42.32440833,-71.75636944,1,21
25,155,11,42.32440833,-71.75636944,1,55
25,156,10,42.30090278,-72.62142222,1,23
25,156,10,42.30090278,-72.62142222,1,57
25,157,21,42.26018333,-71.86559722,1,23
25,157,21,42.26018333,-71.86559722,1,24
25,158,4,42.46675278,-71.25041389,1,52
25,159,23,42.19581389,-70.94987778,1,28
25,159,23,42.19581389,-70.94987778,1,29
25,159,23,42.19581389,-70.94987778,1,30
25,159,23,42.19581389,-70.94987778,1,31
25,160,18,41.93601667,-71.28267778,1,78
25,161,18,42.68878889,-71.43232778,1,28
25,162,2,42.24031111,-71.76873889,1,23
25,162,2,42.24031111,-71.76873889,1,32
25,163,15,42.70184444,-73.15683889,1,0
25,163,15,42.70184444,-73.15683889,1,1
25,163,15,42.70184444,-73.15683889,1,8
25,163,15,42.70184444,-73.15683889,1,29
25,163,15,42.70184444,-73.15683889,1,62
25,164,22,42.63227222,-71.18119722,1,17
25,165,18,42.56741389,-71.78251667,1,7
25,165,18,42.56741389,-71.78251667,1,28
25,165,18,42.56741389,-71.78251667,1,59
